Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Google_Index,count_dot,count_www,count_per,count_ques,count_hyphen,count_equal,Label
1337x.to,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,8,0,0
u1047531.cp.regruhosting.ru,0,0,1,2,0,0,0,0,0,0,0,0,1,1,1,1,1,3,0,0,0,3,0,1
1337x.to,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,9,0,0
hoysalacreations.com,0,0,1,6,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,4,0,1
1337x.to,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,9,0,0
accsystemprblemhelp.site,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,3,1,0,0,0,0,1
1337x.to,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,11,0,0
accsystemprblemhelp.site,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,3,1,0,0,0,2,1
1337x.to,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,9,0,0
firebasestorage.googleapis.com,0,0,1,5,0,0,1,0,1,1,1,1,0,0,1,0,1,5,0,0,1,5,2,1
1337x.to,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,9,0,0
kaizenpak.com,0,0,0,2,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1
1337x.to,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,8,0,0
kaizenpak.com,0,0,1,6,0,0,0,0,0,1,1,1,0,0,1,0,1,7,0,0,0,0,0,1
189.cn,0,0,1,3,0,0,0,0,0,1,0,1,1,1,1,1,1,2,0,0,1,0,2,0
kaizenpak.com,0,0,1,6,0,0,0,0,0,1,1,1,0,0,1,0,1,7,0,0,0,0,0,1
2gis.ru,0,0,1,7,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,12,0,0,0,0
kaizenpak.com,0,0,0,2,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1
abc.go.com,0,0,1,5,0,0,0,0,0,1,1,1,0,0,1,0,1,2,0,0,0,7,0,0
kaizenpak.com,0,0,1,6,0,0,0,0,0,1,1,1,1,1,1,1,1,7,0,0,0,0,0,1
abc.go.com,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,1,2,0,0,1,4,1,0
kaizenpak.com,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
abcnews.go.com,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,1,2,0,0,0,5,0,0
kaizenpak.com,0,0,1,6,0,0,0,0,0,1,1,1,1,1,1,1,1,7,0,0,0,0,0,1
adultfriendfinder.com,0,0,1,6,0,0,0,0,0,1,1,1,0,0,1,0,1,2,0,0,0,1,0,0
kaizenpak.com,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
akhbarelyom.com,0,0,1,5,0,0,0,0,0,1,1,1,0,0,1,0,1,2,0,10,0,0,0,0
santander-prestamosmx.vanmx.xyz,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,2,0,0,1,1,1,1
allegro.pl,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,2,0,0,0,6,0,0
sntbgxuhq.vanmx.xyz,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,0,0,0,0,0,1
allegro.pl,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,6,1,0
