Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Google_Index,count_dot,count_www,count_per,count_ques,count_hyphen,count_equal,Label
u1047531.cp.regruhosting.ru,0,0,1,2,0,0,0,0,0,0,0,0,1,1,1,1,1,3,0,0,0,3,0,1
hoysalacreations.com,0,0,1,6,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,4,0,1
accsystemprblemhelp.site,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,3,1,0,0,0,0,1
accsystemprblemhelp.site,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,3,1,0,0,0,2,1
firebasestorage.googleapis.com,0,0,1,5,0,0,1,0,1,1,1,1,0,0,1,0,1,5,0,0,1,5,2,1
kaizenpak.com,0,0,0,2,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1
kaizenpak.com,0,0,1,6,0,0,0,0,0,1,1,1,0,0,1,0,1,7,0,0,0,0,0,1
kaizenpak.com,0,0,1,6,0,0,0,0,0,1,1,1,0,0,1,0,1,7,0,0,0,0,0,1
kaizenpak.com,0,0,0,2,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1
kaizenpak.com,0,0,1,6,0,0,0,0,0,1,1,1,1,1,1,1,1,7,0,0,0,0,0,1
kaizenpak.com,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
kaizenpak.com,0,0,1,6,0,0,0,0,0,1,1,1,1,1,1,1,1,7,0,0,0,0,0,1
kaizenpak.com,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
santander-prestamosmx.vanmx.xyz,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,2,0,0,1,1,1,1
sntbgxuhq.vanmx.xyz,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,0,0,0,0,0,1
chaseoip.gotdns.ch,0,0,1,4,0,0,0,0,0,1,1,1,1,1,1,1,1,3,0,0,1,1,3,1
tweedy-light.000webhostapp.com,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,2,0,0,0,1,0,1
bcpzonsaegrua1betaviabcpcom.kisslomejorenjoyas.com,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,2,0,0,0,1,0,1
nhsmaintenance.weebly.com,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0,0,1
betasusgiri.blogspot.com,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,2,0,0,0,0,0,1
betasusgiri.blogspot.com,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,2,0,0,0,0,0,1
